,IWRmultiplier,TBDmultiplier,ShoshoneDMND,ENVflows,XBM_mu0,XBM_mu1,shift
3800970,0.152584694,0.001741076,0.007323862,0.006805839,0.515440887,0.017204833,0.030526806
3800981,0.009554052,0.000569178,0.003442328,0.005467663,0.339049641,0.217283455,0.047726799
3800989,0.216867384,0.000579808,0.014074747,0.008112297,0.082782332,0.045654002,0.566457328
3800994,0.400708779,0.001235091,0.01365046,0.010156402,0.101071255,0.036365067,0.368740057
3800996,0.171424678,0.001273169,0.00647213,0.023937137,0.484234744,0.012312727,0.013506186
3801012,0.166962825,0.001592577,0.005516372,0.00561075,0.468289271,0.014991887,0.051795419
3801018,0.127993232,0.000840947,0.027318466,0.010246381,0.462575942,0.021632085,0.022592832
3801038,0.017117807,0.001223634,0.007332773,0.004451383,0.567990864,0.030009498,0.139012558
3801062,0,0,0,0,0,0,0
3801066,0.949012839,0.008231699,0.002595002,0.008881416,0.009679381,0.003415994,0.002688477
3801073,0.058033993,0.000351967,0.013769441,0.005470287,0.430006083,0.04348089,0.289515773
3801078,0.105269207,0.001031673,0.00462528,0.005586823,0.481471913,0.038802522,0.043691766
3801082,0.094312193,0.004103019,0.003089699,0.005139415,0.524361653,0.014611595,0.006347896
3801101,0.059285815,0.001552123,0.003232325,0.005136657,0.501188782,0.073851104,0.043706546
3801104,0,0,0,0,0,0,0
3801121,0.205365017,0.00076831,0.018934965,0.009625029,0.41593071,0.028936577,0.073395186
3801132,0.034348822,0.000571416,0.013214537,0.004968124,0.458152032,0.057428827,0.271007235
3801147,0.211730904,0.001566103,0.006132842,0.006575055,0.470437157,0.011407221,0.017040485
3801481,0.436846267,0.001635901,0.007620022,0.004885917,0.10800406,0.013843105,0.103462202
3801661,0.405457788,0.000665525,0.008558639,0.006832673,0.278237939,0.014900596,0.122277219
3801790,0.094562554,0.003221162,0.0037739,0.005698107,0.578032019,0.028048479,0.009598563
3803713,0,0,0,0,0,0,0
3900532,0,0,0,0,0,0,0
3900537,0.005356574,0.002338131,0.004863987,0.002652898,0.122325438,0.042530931,0.015377361
3900539,0.163408015,0.002693678,0.004760771,0.005136801,0.526010747,0.026898393,0.00837491
3900540,0.183039894,0.000587196,0.013590376,0.00841287,0.095211272,0.09193593,0.500860649
3900547,0,0,0,0,0,0,0
3900548,0,0,0,0,0,0,0
3900562,0.086596207,0.001358309,0.015244121,0.007781841,0.363621326,0.12527747,0.149544689
3900574,0.038249038,0.000391648,0.011768186,0.005550558,0.013065084,0.009503881,0.913545347
3900585,0,0,0,0,0,0,0
3900590,0.071315446,0.001164042,0.011177849,0.005894381,0.455036262,0.077826802,0.111941725
3900610,0.015813044,0.001239848,0.012726401,0.005911755,0.493557724,0.033907856,0.115200134
3900612,0.671825022,0.002083447,0.023675764,0.01719151,0.131513865,0.010617276,0.03569601
3900635,0.062808142,0.001319467,0.008099283,0.002635098,0.406562134,0.01209961,0.08938288
3900638,0.072035602,0.002802746,0.003216392,0.003909612,0.586843141,0.025662203,0.027042691
3900645,0.812954842,0.005708941,0.006194596,0.010533544,0.007838747,0.004548731,0.115894743
3900672,0.2031835,0.002032749,0.006229208,0.005324902,0.492447369,0.05404896,0.004419848
3900687,0.493056311,0.003254145,0.004969881,0.006797435,0.289332267,0.013998552,0.009914256
3900701,0.088105225,0.002723883,0.002823281,0.003873411,0.564626336,0.032110955,0.033337468
3900825,0.222731986,0.001821445,0.005257369,0.005283793,0.438460498,0.065387577,0.005836705
3900990,0.065316582,0.000287061,0.010623678,0.005418197,0.015338226,0.007976166,0.881709334
4500514,0.66892674,0.001640809,0.009058283,0.010047411,0.11498631,0.017699991,0.080851202
4500572,0.586596417,0.001161876,0.008179458,0.007263133,0.163624931,0.013221532,0.04714613
4500584,0.313246893,0.000982762,0.008627497,0.006701506,0.399475748,0.021648465,0.055196775
4500616,0.212972894,0.000713293,0.00832884,0.008328055,0.106019259,0.299189706,0.122589052
4500635,0.51177049,0.000628759,0.010727103,0.009479267,0.159747708,0.027968643,0.140644165
4500638,0.011508823,0.000572612,0.013980753,0.004479481,0.377774161,0.058194357,0.396640787
4500648,0.168281577,0.000340427,0.015415073,0.006931055,0.277896199,0.019665252,0.330491181
4500668,0,0,0,0,0,0,0
