WDID,Admin,Decree,Source
3704641,30894.29391,30,EAST FORK EAGLE RIVER
3704642,22435.20605,18.5,SOUTH FORK EAGLE RIVER
3704642,99999.99999,999,SOUTH FORK EAGLE RIVER
3704643,38753.3752,179.8,SOUTH FORK EAGLE RIVER
3704648,30894.29013,85,SOUTH FORK EAGLE RIVER
37VAILIRR,15646,11.2,#N/A
37VAILMUN,42420.41366,13,#N/A
37_ADC029,13593,14,#N/A
37_ADC029,15293,6.4,#N/A
37_ADC029,19108,18.2,#N/A
37_ADC029,23766,76.23,#N/A
37_ADC029,35221,2.43,#N/A
37_ADC029,49439,3.52,#N/A
37_ADC030,13451,14.7,#N/A
37_ADC030,15098,20.8,#N/A
37_ADC030,21103,9.4,#N/A
37_ADC030,24815,59.02,#N/A
37_ADC030,24127,3.02,#N/A
37_ADC030,37761,1.9,#N/A
37_ADC030,26388,4,#N/A
37_ADC031,12986,11.55,#N/A
37_ADC031,14129,5.88,#N/A
37_ADC031,18604,6.52,#N/A
37_ADC031,22008,38.84,#N/A
37_ADC031,38383,1.78,#N/A
37_ADC031,43372,1,#N/A
3800516,11832,4,FOURMILE CREEK
3800516,12873,3,FOURMILE CREEK
3800516,13274,0.7,FOURMILE CREEK
3800516,30941.25336,5.5,FOURMILE CREEK
3800516,47116.46658,2,FOURMILE CREEK
3800516,49308.4866,2,FOURMILE CREEK
3800528,11981,5,ROARING FORK RIVER
3800528,12870,5,ROARING FORK RIVER
3800528,13233,1.8,ROARING FORK RIVER
3800528,30941.1467,33.2,ROARING FORK RIVER
3800545,11448,2.5,CAPITOL CREEK
3800545,12153,2.6,CAPITOL CREEK
3800545,19720.13635,1,CAPITOL CREEK
3800545,30941.25723,10,CAPITOL CREEK
3800545,52595.52554,1,CAPITOL CREEK
3800547,12518,2.8,CRYSTAL RIVER
3800547,25494.1368,3.2,CRYSTAL RIVER
3800547,30941.14776,14,CRYSTAL RIVER
3800547,53279,3.8,CRYSTAL RIVER
3800547,99999.99999,999,CRYSTAL RIVER
3800569,12961,6,CATTLE CREEK
3800569,20109.19237,8,CATTLE CREEK
3800572,19306.17804,4,CAPITOL CREEK
3800572,20109.18771,4,CAPITOL CREEK
3800572,24546.18771,4.18,CAPITOL CREEK
3800572,30941.25723,6,CAPITOL CREEK
3800572,34485,4,CAPITOL CREEK
3800573,11880,2.5,CAPITOL CREEK
3800573,12173,2.5,CAPITOL CREEK
3800573,37552.24988,6,CAPITOL CREEK
3800573,99999.99999,999,CAPITOL CREEK
3800574,13605,5,CRYSTAL RIVER
3800574,30941.25658,36.24,CRYSTAL RIVER
3800606,11809,1.7,COLLINS CREEK
3800606,12599,1.3,COLLINS CREEK
3800606,13284,0.3,COLLINS CREEK
3800606,30941.24258,13.34,COLLINS CREEK
3800618,21644.12875,5.58,ROARING FORK RIVER
3800618,30941.14701,5.6,ROARING FORK RIVER
3800618,99999.99999,999,ROARING FORK RIVER
3800639,19475.14188,4,CAPITOL CREEK
3800639,23853.15862,7.2,CAPITOL CREEK
3800639,24577.19524,3.96,CAPITOL CREEK
3800639,30941.25723,1.71,CAPITOL CREEK
3800651,19313.16293,31.8,CRYSTAL RIVER
3800651,36396.33723,10,CRYSTAL RIVER
3800659,29274.20209,8.33,ROARING FORK RIVER
3800659,30941.20575,6.66,ROARING FORK RIVER
3800660,23187.20939,19.29,SNOWMASS CREEK
3800663,19313.12957,9.1,CRYSTAL RIVER
3800663,30941.27931,3.45,CRYSTAL RIVER
3800663,36396.36277,2,CRYSTAL RIVER
3800663,44557,0.25,CRYSTAL RIVER
3800663,52595.52536,0.3,CRYSTAL RIVER
3800663,99999.99999,999,CRYSTAL RIVER
3800667,24059.21458,9.5,CATTLE CREEK
3800667,99999.99999,999,CATTLE CREEK
3800688,11633,1.6,FOURMILE CREEK
3800688,23329.19698,1.6,FOURMILE CREEK
3800688,30941.25336,4,FOURMILE CREEK
3800688,36396.25719,5.44,FOURMILE CREEK
3800688,99999.99999,999,FOURMILE CREEK
3800712,21522.18584,28.65,ROARING FORK RIVER
3800712,30941.18949,17.24,ROARING FORK RIVER
3800712,99999.99999,999,ROARING FORK RIVER
3800715,13262,8.5,ROARING FORK RIVER
3800715,30941.14723,12.24,ROARING FORK RIVER
