WDID,Water Source
3605499,GROUNDWATER: BLUE RIVER
3605504,GROUNDWATER: BLUE RIVER
3605505,GROUNDWATER: BLUE RIVER
3605506,GROUNDWATER: BLUE RIVER
3605550,GROUNDWATER: BLUE RIVER
3605551,GROUNDWATER: BLUE RIVER
3605580,GROUNDWATER: BLUE RIVER
3605581,GROUNDWATER: SWAN RIVER
3605585,GROUNDWATER: MINERS CREEK
3605591,GROUNDWATER: BLUE RIVER
3605592,GROUNDWATER: BLUE RIVER
3607005,BLUE RIVER
3607010,BLUE RIVER
3607011,BLUE RIVER
3607012,STRAIGHT CREEK
3607144,BLUE RIVER
3607193,MIDDLE BARTON CREEK
3607235,UNDEFINED
3607268,MIDDLE BARTON CREEK
3607413,BLUE RIVER
3607591,BLUE RIVER
3607699,SALT LICK CREEK
3607721,SNAKE RIVER
3607902,SPRING CREEK
3609014,COLORADO RIVER
3609018,SODA CREEK
3609028,STRAIGHT CREEK
3609029,BLUE RIVER
3609035,BLUE RIVER
3609037,BLUE RIVER
3609039,SWAN RIVER
3609061,BLUE RIVER
3609071,SWAN RIVER
3609080,SNAKE RIVER
3609086,BLUE RIVER
3609087,BLUE RIVER
3609088,SPRING CREEK
3609100,COLORADO RIVER
3609101,COLORADO RIVER
3609135,BLUE RIVER
3609136,BLUE RIVER
3609137,BLUE RIVER
3617010,UNDEFINED
3700501,BRUSH CREEK
3700502,ALKALI CREEK
3700503,GYPSUM CREEK
3700504,BRUSH CREEK
3700505,CROSS CREEK
3700506,LAKE CREEK
3700507,BRUSH CREEK
3700508,LAKE CREEK
3700509,BRUSH CREEK
3700510,BRUSH CREEK
3700511,BRUSH CREEK
3700512,BERRY CREEK
3700513,GORE CREEK
3700514,CROSS CREEK
3700515,TALMADGE CREEK
3700516,ALKALI CREEK
3700517,BRUSH CREEK
3700518,HOMESTAKE CREEK
3700519,EAST LAKE CREEK
3700520,EAST LAKE CREEK
3700521,LAKE CREEK
3700522,GORE CREEK
3700523,GORE CREEK
3700524,BEARD CREEK
3700525,BEARD CREEK
3700526,WHISKEY CREEK
3700527,WHISKEY CREEK
3700528,STONE CREEK
3700529,GYPSUM CREEK
3700530,CACHE CREEK
3700531,LAKE CREEK
3700532,RUBE CREEK
3700533,EBY CREEK
3700534,EBY CREEK
3700535,EBY CREEK
3700536,EBY CREEK
3700537,CASTLE CREEK
3700538,EAGLE RIVER
3700539,GYPSUM CREEK
3700540,CROSS CREEK
3700541,EBY CREEK
3700542,EBY CREEK
3700543,EBY CREEK
3700544,EBY CREEK
3700545,BRUSH CREEK
3700546,HOMESTAKE CREEK
3700548,EAGLE RIVER
3700549,GYPSUM CREEK
3700550,GYPSUM CREEK
3700551,SPRING CREEK
3700552,SPRING CREEK
3700553,BRUSH CREEK
3700554,EAGLE RIVER
3700555,TWO ELK CREEK
3700556,CROSS CREEK
3700557,MILE CREEK
3700558,MILE CREEK
3700559,BRUSH CREEK
3700560,LAKE CREEK
3700561,GYPSUM CREEK
3700562,EAGLE RIVER
3700563,LAKE CREEK
3700564,SUNDELL CREEK
3700565,BRUSH CREEK
3700566,BRUSH CREEK
3700567,BRUSH CREEK
