Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1959,32611,48600,124305,127937,239776,239776,39714,39834,2875,24682,25213,14777,21051,26077,26077,4108,14362,14362,7453,30660,7300,5275,5275,158846,434576,1543,6500,14318,16272,62909,97087,97891,102293,102326,6288,18673,18937,20195,20057,15813,15989,1521,6398,43939,45519,12455,733,12256,72885,73015,1530,3713,29129,72826,2013,38705,41844,46831,56336,62946,192418,192418,10605,264639,16003,16003,20914,281916,9187,290082,291996,21165,12795,12795,340225,340684,12858,6706,365957,1036219,11222,3908,25050,25050,28359,2406,6457,10106,557,39711,50740,14803,2447,696,10325,5900,29504,13454,10856,33716,101264,32797,32797,18061,38649,212993,231569,12308,21486,281944,30265,43245,22084,22084,24545,34169,390912,1715838,4426,23865,34883,750,68837,98338,26509,33135,27159,27159,46129,39200,42445,11643,15726,43122,26304,107132,17179,125560,160562,157489,157489,6751,7120,553319,2246,165065,201259,6883,29846,10746,10746,12992,26719,4285,10773,848378,2652699,34413,36262,36595,46563,1477,20628,67191,738,2367,996,13173,4090,28353,2068,26765,26765,19672,2051,562,3420,8665,2859,11524,2842377,4946,8708,9185,22358,2896049,2849,9699,24945,37455,762,14641,14641,4290,3749,8754,8800,8800,1903,4397,1239,5893,137407,4072,6717,950938,3976378,3951754
1960,41740,62207,153403,157778,292498,292498,64627,64822,3031,26038,26598,18515,26376,25183,25183,4713,18135,18135,9412,38680,7052,6432,6432,190984,542760,2581,7304,16049,18236,76887,112623,113464,120725,120775,7499,22273,22589,21518,21635,25927,26217,1966,7295,48295,55375,16124,647,15867,95893,96452,1410,3421,26838,67098,2447,47074,53261,47209,56789,63452,212979,212979,12899,282180,17539,17539,22026,300888,9490,309443,311191,21864,13052,13052,364044,364617,13116,6839,379709,1183593,12025,4189,26843,26843,31056,2786,7489,11720,748,50567,64612,15864,3100,1402,13315,7609,38047,14596,11782,36584,116453,36798,36798,19878,42512,240044,260465,13532,23617,316480,33741,48009,22657,22657,25363,35942,435119,1974121,5603,24414,33760,755,72819,104026,27470,34337,27664,27664,46809,36999,40275,10989,15869,40699,24826,101118,17356,126846,162206,170656,170656,8806,9289,572374,2267,185325,221848,10785,33960,13014,13014,15281,29135,5215,11764,895782,2956003,33305,35094,35731,52339,1662,23183,75522,1037,2880,966,18538,6463,40611,2911,25879,25879,19021,2557,679,4611,11904,3926,15830,3169434,7193,12659,9194,25167,3233494,4038,13766,35399,53152,1313,25223,25223,7388,6458,15083,10467,10467,2266,5234,1473,7018,155879,4849,6762,1390074,4790854,4790590
1961,37314,55609,133957,137714,253452,253452,44525,44660,2489,21363,21822,13551,19304,17198,17198,5465,11500,11500,5971,21051,4815,5108,5108,132555,426922,1374,5446,11210,12651,60777,86016,86610,93235,93281,5514,16378,16611,14690,14788,16561,16745,1290,4737,31251,37944,10577,504,10406,67571,68124,1239,3010,23614,59034,2048,39365,42220,37414,45008,50288,164995,164995,10787,232011,13387,13387,17868,246563,8895,254523,256270,20492,10518,10518,301537,301993,10572,5512,307515,903545,8824,3072,19694,19694,23215,2139,5744,8992,1122,42252,53987,11638,2635,485,7895,4512,22560,11142,8991,27927,81140,28421,28421,14995,31584,173601,188566,9917,17310,229083,24639,35096,20872,20872,22858,30608,320212,1514435,4761,22255,31398,536,58870,84100,24716,30892,24834,24834,38420,38295,40619,11374,11261,42124,25698,104658,12805,93582,119668,137671,137671,7130,7521,472879,1610,156346,182266,6949,23393,8320,8320,9930,19762,4057,8705,725952,2293553,30973,32637,33268,41051,1304,18186,59237,768,2078,1281,13722,4535,29810,2154,23731,23731,17442,2337,661,3912,9364,3087,12451,2474252,4594,8089,7833,19728,2528802,4909,16728,43016,64587,863,16592,16592,4863,4248,9922,10171,10171,2290,5287,1489,7088,130034,4898,6752,1015441,3682269,3677481
1962,54744,81587,196860,202393,372684,372684,102180,102487,3209,27563,28153,24341,34673,38705,38705,9304,19554,19554,10149,36041,10838,10658,10658,257024,723410,4479,8782,21031,24091,99007,155959,157300,167809,167882,10923,32441,32904,35619,35315,42256,42726,2292,9539,65305,85136,18786,13,18486,146119,147744,1686,4093,32103,80258,2491,47880,54011,70701,85049,95027,258199,258199,13119,352778,22384,22384,28877,376849,11713,387214,389743,26992,17976,17976,464909,465875,18064,9418,505682,1673715,19252,6705,42969,42969,49780,4340,11655,18240,2064,81738,104441,25392,5354,4779,15649,8943,44714,18373,14829,46050,152493,45918,45918,24284,57688,321459,351598,19970,34858,436989,39474,60534,25099,25099,29093,44707,593426,2841204,9681,33721,43148,1022,106124,151606,41831,52290,36287,36287,62185,55917,60348,16609,21469,61508,37519,152822,24300,177584,227088,227962,227962,10925,11524,799200,3066,288207,337617,19039,50389,17386,17386,20452,39195,11421,20282,1282805,4203741,42565,44853,53402,83756,2661,37105,120861,1994,4930,1856,35586,13840,79388,5586,31107,31107,22863,5084,2757,7784,21168,6980,28148,4674539,8288,14591,11007,30931,4775712,7779,26514,68181,102375,2692,51757,51757,15164,13252,30952,12992,12992,3269,7552,2125,10123,240720,6996,6652,2194086,7232828,7244175
1963,30902,46057,109964,113029,207440,207440,33060,33161,1861,15971,16315,11634,16572,13769,13769,3582,8985,8985,4663,18120,3856,4308,4308,103423,341357,738,4260,9508,10821,38306,57940,58403,62924,62956,5455,16203,16433,16585,16567,13108,13254,1192,4614,30927,36978,9777,408,9622,64141,64640,878,2126,16678,41696,1478,28461,31190,31507,37901,42350,128101,128101,7798,182495,13466,13466,17181,196926,6968,203120,204568,16053,9401,9401,248173,248752,9448,4925,263812,770752,7171,2497,16004,16004,19285,1782,4784,7488,177,39394,50338,9458,1770,751,7006,4006,20021,11119,8973,27869,73807,26137,26137,12729,26756,154143,166796,8385,14635,201395,22331,31174,19739,19739,21416,27970,282036,1316201,3198,18332,27163,559,44210,63158,20841,26049,22061,22061,36234,30813,33237,9151,11749,33896,20674,84212,10971,80172,102523,128755,128755,5126,5408,420770,1678,140461,167501,4305,21461,4734,4734,6412,16668,1798,6646,652811,2037288,26797,28237,27804,44328,1406,19634,63962,375,1785,1288,6691,2109,14435,1051,25142,25142,18479,1852,339,3251,5301,1749,7050,2185627,3750,6602,5855,15303,2235576,2502,8534,21944,32946,570,11002,11002,3223,2817,6579,8552,8552,2172,5020,1415,6730,103601,4651,6410,913840,3282973,3307716
1964,37850,56406,123969,127212,227023,227023,38905,39023,2387,20508,20947,14796,21079,18329,18329,4902,11112,11112,5767,20247,5131,4901,4901,129764,392417,1462,5375,11508,13039,54692,77716,78259,82934,82968,5468,16239,16470,17895,17737,15465,15637,1347,5055,33600,37190,11030,151,10853,63593,63889,1132,2752,21588,53966,1657,31881,33360,43396,52206,58331,152629,152629,8736,207345,13679,13679,17344,221975,7824,229039,230467,18028,12426,12426,273595,273999,12486,6510,299471,897730,7696,2682,17179,17179,20420,1917,5144,8050,1415,38896,49702,10151,3342,712,9318,5327,26627,12900,10411,32333,90459,32211,32211,15191,32238,188260,203642,10191,17789,245488,26271,37017,20478,20478,22515,30485,339116,1503450,6045,24259,32686,676,64794,92562,27866,34832,25134,25134,42279,41327,44260,12273,14214,45459,27731,112946,16189,118313,151296,147541,147541,6012,6341,527689,2030,177596,210308,11531,32286,8423,8423,10453,22862,5324,11191,828253,2389135,32244,33976,35976,43619,1386,19324,62943,1117,3311,1251,19933,7781,44497,3130,21918,21918,16111,3689,741,6082,5052,1665,6717,2604126,2861,5037,6527,14735,2656129,4349,14823,38118,57233,1538,29577,29577,8667,7572,17684,10539,10539,2302,5319,1497,7129,152183,4927,6483,1347494,4147766,4122297
1965,51298,76450,181697,186748,342226,342226,74717,74940,3882,33333,34047,23286,33170,27880,27880,8073,20844,20844,10817,33287,7805,8427,8427,232029,641332,2800,9714,22121,25222,86221,120342,121145,133126,133211,8215,24400,24747,25890,25763,31480,31831,1892,7150,47593,59945,15510,793,15261,106531,107554,2374,5763,45198,112999,3393,65250,71193,74518,89644,100160,312371,312371,17878,408948,22886,22886,29158,433463,11131,443292,445736,25648,17426,17426,520551,521565,17511,9131,553396,1519066,12195,4247,27219,27219,32429,2745,7372,11539,1490,62514,79879,16086,5352,1959,14588,8336,41677,23589,19036,59118,153955,49471,49471,25855,54625,314339,340294,17199,30019,411675,36830,54968,25195,25195,28635,42082,552815,2497312,9678,32613,41164,1027,98283,140404,43343,54180,34693,34693,60741,56173,60629,16683,21591,61790,37692,153521,29184,213284,272742,250602,250602,8351,8810,809901,3085,281751,331442,17744,49271,16085,16085,19170,38019,9071,17981,1282947,3861382,40607,42790,46561,73331,2328,32486,105817,1681,4663,1394,30004,11544,66812,4711,28303,28303,20802,4064,1434,6817,14328,4724,19052,4199300,12927,22762,6917,33037,4277886,5921,20175,51878,77894,2078,39941,39941,11701,10227,23884,12874,12874,2991,6900,1943,9252,230181,6393,6644,2610984,7116928,7097081
1966,29356,43750,95804,98302,175201,175201,40959,41082,2275,19525,19945,12769,18189,16688,16688,3763,9747,9747,5060,19781,4673,3980,3980,112211,325999,1485,5426,10718,12041,49755,74398,74977,78480,78508,5466,16228,16458,16786,16751,13430,13579,1008,3655,24027,34869,8260,460,8130,64900,65797,1015,2467,19352,48377,1399,26912,30125,31563,37967,42421,136071,136071,7371,195990,12330,12330,16519,209407,7401,215938,217570,17052,9260,9260,253135,253433,9306,4850,269085,780978,4911,1710,10960,10960,14198,1650,4427,6930,724,38873,49671,6477,4028,1144,7602,4345,21721,9312,7515,23340,74769,28081,28081,13092,29168,163471,177975,9610,16773,217915,28185,38320,20733,20733,22657,30169,311042,1343725,7282,23033,28270,704,61485,87836,26988,33735,24163,24163,41990,37060,40108,11008,14777,40767,24865,101285,12465,91098,116493,131392,131392,4378,4619,498456,2111,161939,195952,8548,30128,7881,7881,9992,22894,4850,10949,783237,2174931,27886,29385,29233,38678,1228,17133,55811,1048,2650,1526,18732,4883,39387,2941,25562,25562,18787,3118,320,4484,7670,2528,10198,2341726,6899,12146,4980,19382,2403887,3433,11697,30078,45161,1147,22035,22035,6456,5641,13177,9973,9973,2795,6454,1817,8653,154476,5978,6598,1045585,3629186,3645759
1967,44925,66952,145365,149126,264960,264960,59082,59259,2739,23528,24032,18325,26103,19014,19014,5542,13579,13579,7048,25289,5323,5489,5489,157494,477084,1066,6072,13874,15824,64718,96043,96780,101478,101510,5972,17732,17984,19158,19026,19790,20009,1069,4611,31893,44261,8746,535,8605,77187,78211,1143,2775,21772,54432,1837,35315,39154,44937,54057,60400,172083,172083,9677,246945,16819,16819,22016,265112,9638,273670,275694,22205,12785,12785,314285,314400,12849,6700,339270,1057512,8519,2966,19016,19016,22621,1903,5112,8000,1379,43269,55290,11238,3983,803,8629,4933,24657,15443,12463,38705,98485,31707,31707,19775,38783,206165,223313,11363,19836,269984,27118,39100,19624,19624,21898,30781,368997,1722004,7203,24325,30730,649,68595,97994,26408,33010,26353,26353,42797,44651,47463,13261,13633,49118,29960,122029,16050,117303,150003,155903,155903,6227,6570,543388,1948,209089,240467,6455,26363,8864,8864,10812,22713,2556,8182,864048,2690592,30317,31945,35127,54118,1717,23974,78092,627,2087,1423,11178,5323,25912,1754,25115,25115,18461,3203,1060,5534,5229,1725,6954,2936151,4951,8714,5525,16923,2969135,3682,12547,32264,48446,793,15244,15244,4468,3901,9116,10161,10161,2460,5679,1601,7615,139975,5261,6390,886547,3987248,3960980
1968,43501,64829,137345,140826,247952,247952,50004,50155,2735,23474,23978,19483,27754,17123,17123,5370,13473,13473,6993,22901,4793,5509,5509,149921,443818,2557,7209,15510,17586,70351,100235,100939,106428,106468,6406,19025,19294,21931,21639,19676,19894,1523,5911,39691,45480,12483,705,12282,77992,78472,1463,3556,27886,69713,2122,40786,43691,52543,63209,70624,197736,197736,11176,274689,15626,15626,20869,291678,8753,299339,301382,20165,13520,13520,328429,328216,13588,7085,360856,1074646,12643,4404,28219,28219,32416,2828,7588,11876,1112,50355,64341,16679,3820,927,10738,6134,30676,15259,12315,38244,110179,36423,36423,19550,41878,232167,252313,13350,23299,307120,30083,44159,20585,20585,23254,33691,419191,1852330,6907,28463,38688,804,76569,109386,34108,42632,30707,30707,51051,47310,50790,14052,16865,52042,31743,129299,16962,123974,158535,170063,170063,13321,14053,625495,2409,217612,256427,14793,39420,12649,12649,15058,29782,7970,14932,994431,2938253,38165,40217,42697,64209,2039,28444,92653,1561,4360,1151,27879,11319,62673,4376,25750,25750,18925,3538,1003,5880,14436,4762,19198,3226815,12185,21451,7537,32651,3283158,5362,18276,46994,70559,1944,37371,37371,10950,9566,22349,10030,10030,2589,5978,1683,8013,192464,5538,6687,1443973,4898478,4854819
1969,44502,66324,158441,162860,298938,298938,62934,63123,3469,29782,30420,19914,28367,21546,21546,5734,19325,19325,10029,35553,6033,5819,5819,185784,542660,1833,9058,18361,20687,75523,100442,101031,112182,112261,6344,18843,19109,19195,19184,20601,20830,1276,4956,33289,59882,10448,558,10282,113504,115704,1507,3660,28701,71753,2358,45358,49089,51708,62203,69501,207926,207926,12427,288403,16174,16174,21598,305986,8638,313496,315610,19902,13148,13148,346652,346587,13212,6889,367081,1187027,9029,3143,20155,20155,24289,2535,6803,10645,1625,49607,63388,11913,5267,1843,10927,6244,31219,16401,13235,41107,112342,32869,32869,18802,40456,228033,247568,12944,22597,301666,32203,45855,22223,22223,24812,34935,415644,1940050,9524,31261,39016,831,74545,106495,31106,38883,28482,28482,49518,46294,49892,13749,17436,50924,31062,126522,17724,129535,165646,167310,167310,7594,8012,610687,2492,232195,272327,10549,36011,10991,10991,13483,28704,5686,12882,989950,3010968,38488,40557,46182,52144,1655,23097,75241,1351,3316,1407,24091,7035,51410,3781,26544,26544,19511,4488,1665,6685,21214,6994,28208,3351226,15205,26772,17059,52120,3437881,4901,16704,42950,64489,1939,37318,37318,10935,9554,22315,12449,12449,2895,6683,1883,8957,200765,6189,6751,1874987,5447468,5343884
1970,51898,77345,168918,173313,308594,308594,77473,77706,3734,32077,32764,23427,33369,27690,27690,6258,17377,17377,9017,32582,7751,10186,10186,226636,605402,3635,8051,18034,20528,90168,127487,128365,135138,135185,9106,27042,27427,31185,30768,35334,35726,2029,8073,54598,60161,16619,8,16355,99900,100364,2140,5197,40755,101890,2958,56907,62220,66154,79581,88917,278074,278074,15593,375023,21689,21689,28174,398395,11456,408504,411031,26397,15501,15501,472447,473070,15578,8123,513824,1483224,13551,4716,30246,30246,35993,3510,9421,14747,1611,68955,88105,17875,5439,2542,14122,8070,40353,21575,17412,54076,146039,43565,43565,24889,52820,297075,322271,16698,29148,392213,39067,56675,27521,27521,30860,43915,535611,2490092,9835,29733,35710,1053,94543,135063,41567,51957,35663,35663,62307,48776,53336,14486,22083,53655,32729,133305,23767,173704,222129,216612,216612,10167,10724,758970,3155,232128,282957,18383,50633,14328,14328,17483,36763,10395,19509,1185997,3673957,35229,37121,48749,66746,2119,29571,96317,1948,4351,1000,34792,13967,78054,5462,29430,29430,21631,4746,3421,8417,16363,5397,21760,4162435,6350,11181,9827,25784,4102975,5181,17660,45414,68187,2414,46409,46409,13597,11882,27752,13424,13424,3167,7311,2057,9800,241977,6770,6748,2253389,6608935,6605101
1971,52248,77867,170506,174949,311799,311799,74795,75019,3624,31133,31799,23150,32976,32732,32732,6556,19382,19382,10057,35595,9165,8427,8427,228152,607945,2997,8566,19728,22520,93536,135785,136781,152829,152943,9179,27257,27645,28566,28462,30519,30859,2145,8855,60492,63853,17585,698,17303,103529,103808,1831,4449,34891,87228,2695,51828,58128,63212,76041,84963,260020,260020,14201,345976,21679,21679,27397,369140,9869,377821,380050,22743,16500,16500,435903,436434,16583,8645,465840,1414092,14172,4933,31635,31635,37262,3171,8511,13319,1626,67508,86263,18696,4706,2083,13473,7698,38494,13827,11159,34651,123658,39649,39649,21036,48373,265166,289827,16344,28524,357876,39332,56567,27488,27488,30756,43534,499873,2378104,8510,29809,38228,1094,85975,122820,37587,46983,31644,31644,59390,47074,51820,13981,23000,51781,31587,128654,20724,151476,193703,193859,193859,10511,11089,719735,3287,197169,250106,13805,47392,13140,13140,16427,36505,9175,18668,1111102,3651693,37710,39737,44836,49462,1570,21913,71375,1864,3975,1093,33249,12885,74131,5221,29363,29363,21582,3688,1832,7006,11363,3747,15110,3978580,4450,7836,7015,18260,4065904,4977,16960,43614,65486,2580,49637,49637,14543,12707,29682,11768,11768,2981,6885,1939,9229,219075,6376,6602,2224415,6443223,6339578
1972,41904,62450,136123,139660,248495,248495,59872,60051,2890,24833,25364,15150,21582,26217,26217,5668,13512,13512,7014,23927,7341,6366,6366,157051,461574,1692,6108,13436,15267,66990,96273,96963,104899,104955,7461,22155,22470,23593,23468,24072,24339,1527,6434,44194,58133,12527,8,12327,99853,101004,1492,3623,28415,71039,2276,43761,48035,53264,64074,71591,210806,210806,11989,294012,16709,16709,22385,312196,9473,320489,322701,21826,13048,13048,377878,378528,13112,6836,403571,1142763,10274,3577,22933,22933,27277,2330,6252,9786,2067,52124,66604,13553,3243,1566,9899,5657,28285,17010,13730,42634,111296,31553,31553,19004,40857,226458,246173,13064,22802,300468,32407,46183,26373,26373,28986,39197,419337,1917106,5866,25431,35115,1004,65356,93366,26860,33575,27369,27369,52777,39133,43478,11621,21060,43047,26258,106950,13068,95496,122118,163472,163472,8390,8850,604578,3007,173255,221730,8999,39756,11191,11191,14198,32586,4814,13505,947587,2997164,34639,36501,36165,47322,1501,20963,68285,1074,2715,895,19213,4566,39957,3017,27461,27461,20184,2189,697,4827,6042,1992,8034,3181044,3552,6255,5126,13727,3320194,3781,12880,33122,49735,1216,23375,23375,6848,5984,13977,10762,10762,2496,5763,1623,7726,145490,5339,6405,1199484,4542606,4366737
1973,47463,70735,167472,172113,315021,315021,68861,69067,3292,28273,28878,19107,27215,26463,26463,6177,18029,18029,9359,33105,7410,7065,7065,201871,579462,3341,7076,16728,19140,79475,114961,115798,131694,131806,7779,23105,23433,25990,25704,29249,29575,1625,6826,46846,58765,13318,648,13106,100331,101318,1575,3827,30003,75005,2113,40614,46017,52658,63345,70777,217268,217268,11127,303045,17978,17978,23928,322567,9962,331295,333613,22956,15694,15694,385298,385715,15772,8224,421306,1333751,14441,5029,32238,32238,37730,2777,7458,11670,1611,65884,84183,19052,5336,1406,12264,7009,35035,20609,16631,51651,138256,40665,40665,21780,49688,283211,308392,16686,29123,377141,35854,53447,24677,24677,28014,41059,514419,2303562,9651,34723,45001,1134,83994,119991,35489,44362,32275,32275,61010,46825,51740,13907,23820,51508,31419,127973,14073,102849,131521,192139,192139,11632,12271,721194,3402,256630,311454,17130,51915,12778,12778,16180,36976,10231,20060,1181676,3613694,44390,46777,51404,65913,2093,29199,95112,2012,5300,1485,35937,18099,84297,5643,27490,27490,20204,5089,1667,7427,21529,7101,28630,3978378,14294,25166,11238,41865,4058875,7212,24574,63191,94882,3225,62029,62029,18175,15879,37094,13592,13592,3246,7500,2110,10054,293918,6948,6540,2082923,6464737,6485075
1974,44481,66291,154217,158434,288327,288327,66032,66229,3280,28161,28765,19947,28414,29453,29453,6049,20667,20667,10727,34272,8246,9031,9031,222543,569340,2066,7383,17578,20128,90088,134332,135374,139718,139747,9542,28336,28737,30480,30286,33332,33704,1851,6781,44720,61839,15168,588,14925,112439,113822,1519,3693,28964,72412,2525,48557,53496,58908,70866,79179,228374,228374,13305,324441,22051,22051,28648,348206,10375,357210,359780,23903,14357,14357,423240,424047,14428,7525,453907,1375232,12807,4460,28589,28589,34032,2675,7179,11233,1968,65330,83476,16897,3973,2301,13412,7663,38323,16194,13067,40581,129048,38289,38289,22961,50098,270532,295016,16224,28318,362800,34582,51692,25816,25816,29060,41745,497827,2315927,7184,26285,34280,997,66806,95439,27080,33850,25746,25746,50987,43576,47893,12941,20924,47934,29238,119092,12582,91964,117601,166334,166334,6578,6938,615057,2989,178701,226859,10329,40884,10944,10944,13933,32198,5844,14480,964684,3386441,33818,35635,34115,51809,1645,22948,74757,1224,3167,916,21860,6540,46806,3433,29306,29306,21539,2283,345,5811,9048,2982,12030,3564225,6306,11100,7348,22016,3670808,2295,7818,20103,30184,1631,31369,31369,9190,8030,18758,9970,9970,2546,5882,1656,7885,154510,5449,6412,1699210,5450196,5337329
1975,44422,66204,147910,151832,272533,272533,59433,59613,2808,24118,24635,15605,22230,25899,25899,5940,14982,14982,7777,30382,7252,6595,6595,161018,489390,2209,7334,15921,18069,69580,95326,95931,107487,107568,8549,25385,25746,29032,28667,31086,31431,1587,5680,37177,45768,13002,8,12795,82021,82732,1573,3818,29960,74900,2203,42384,45683,66666,80198,89607,225740,225740,11613,310647,14585,14585,20428,326752,9752,335287,337564,22468,14580,14580,375944,375987,14652,7640,414394,1206742,11322,3942,25274,25274,31563,2260,6065,9489,1917,75482,96451,14936,4876,1326,13752,7858,39291,17688,14274,44331,130880,39103,39103,22431,48003,268023,291096,15289,26686,354134,34168,50292,24259,24259,27317,39271,482891,2180751,8821,34481,46055,1058,69807,99725,28612,35764,29797,29797,56595,49465,54050,14691,22214,54413,33191,135188,12887,94181,120437,173500,173500,13693,14443,664905,3172,223152,274281,14781,47223,9859,9859,13031,32427,6584,15752,1071965,3278478,45433,47874,56805,55109,1749,24412,79521,1563,4960,1133,27911,12687,64100,4382,25827,25827,18981,3974,2786,7026,22239,7331,29570,3700746,12953,22805,15680,46100,3782434,5899,20103,51691,77614,2278,43836,43836,12844,11221,26214,11702,11702,2798,6462,1820,8660,222324,5984,6560,1816114,5855219,5883770
1976,32894,49019,109098,111981,200735,200735,42643,42770,2077,17840,18222,10443,14875,22614,22614,4770,9742,9742,5055,26291,6331,5123,5123,125334,366153,1450,5234,13334,15361,61691,90628,91309,97051,97091,6102,18123,18378,20071,19884,15969,16148,1526,5749,38256,53128,12510,0,12309,96036,97266,1364,3315,26015,65033,1963,37757,42251,49730,59824,66842,195310,195310,10347,276655,14489,14489,20149,292611,8353,299789,301994,19245,12882,12882,340045,340234,12945,6750,367618,993892,12442,4333,27773,27773,31978,2408,6468,10123,929,50444,64456,16415,3457,1049,9447,5399,26989,14295,11537,35826,101680,28482,28482,18852,39884,211198,230172,12575,21948,281976,28976,42237,22022,22022,24538,34366,390813,1740420,6249,24062,31968,811,60103,85863,21970,27461,23566,23566,44120,39647,43163,11775,17038,43611,26604,108356,10243,74869,95740,126712,126712,7628,8047,514553,2435,181135,220349,7051,31931,9773,9773,12208,27080,4360,11393,833974,2605311,31536,33231,38174,46668,1480,20673,67341,956,2885,1151,17054,5869,37284,2677,25653,25653,18855,2837,1472,4915,12575,4147,16722,2892702,9207,16211,8771,29244,2981270,4418,15056,38716,58132,1207,23214,23214,6802,5943,13881,10129,10129,2642,6102,1719,8179,143596,5652,6316,1314143,4381284,4290022
1977,25317,37731,89070,91534,167376,167376,26806,26886,1908,16386,16737,12938,18430,12520,12520,5944,8165,8165,4236,24663,3506,4022,4022,98246,291277,935,4547,10613,12129,47302,66227,66673,71997,72035,3261,9687,9824,10466,10394,9674,9781,1206,3577,21820,26305,9889,0,9731,50273,50603,885,2152,16877,42189,1370,26321,29700,31039,37338,41719,129546,129546,7212,186396,10355,10355,14313,197779,6064,203019,204561,13970,7795,7795,216070,215744,7834,4084,230578,677283,3945,1374,8807,8807,11070,1435,3850,6026,244,27150,34692,5203,2318,675,5637,3222,16110,7777,6277,19491,54483,18405,18405,12718,22937,115814,125034,6108,10664,150362,22956,29398,17379,17379,18601,23376,218798,1074837,4194,12125,14235,428,37080,52972,13127,16410,13893,13893,24452,20981,22788,6233,8984,23078,14078,57340,5783,42272,54055,74000,74000,5315,5607,289054,1283,77146,97292,1878,14976,6139,6139,7389,15031,1313,4992,435688,1541172,14042,14796,16439,48246,1531,21375,69621,137,1480,690,2450,1275,5788,384,24442,24442,17966,681,1037,2974,3551,1172,4723,1712659,2944,5186,2855,9429,1808136,1332,4542,11678,17535,247,4762,4762,1396,1222,2848,7926,7926,1884,4345,1225,5826,64258,4025,7432,772769,2581334,2482750
1978,59396,88520,195000,200110,357407,357407,81683,81928,3312,28449,29059,20447,29127,26879,26879,6350,18482,18482,9592,36758,7528,9608,9608,197393,631567,2475,8656,18324,20742,83421,109872,110495,119104,119165,11020,32733,33198,35335,35098,43400,43883,1934,7709,52163,63686,15850,800,15596,109945,110898,1769,4288,33641,84097,2470,47499,53617,67533,81239,90770,257328,257328,13016,350966,20184,20184,26609,372820,9966,381450,383954,22965,16256,16256,443495,444144,16335,8518,478692,1460768,11129,3875,24842,24842,29914,2287,6140,9608,1719,60864,77771,14680,6875,1487,14349,8198,40994,24356,19657,61044,151153,46127,46127,32215,58794,308076,332054,15891,27733,397678,35700,52458,25670,25670,28848,41269,532141,2403769,12432,37622,45210,899,75824,108319,33121,41401,26027,26027,48816,46381,50279,13772,18891,51019,31121,126760,15959,116639,149154,199327,199327,10798,11389,661259,2699,215198,258677,13795,41383,12844,12844,15543,32036,6445,14242,1039379,3565265,44599,46996,45411,62846,1996,27841,90687,1405,3836,976,25106,9146,55392,3941,29046,29046,21347,4375,273,7930,18745,6181,24926,3789763,15444,27188,11471,44234,3846895,5245,17867,45944,68987,1637,31511,31511,9231,8066,18843,11000,11000,2359,5446,1533,7299,168655,5044,6601,1316633,5379222,5425570
